PLANNED_DAYS,BUDGET_PEN,KLOC,ACTUAL_DAYS_PRED,ACTUAL_COST_PEN_PRED,DEFECTS_PRED,ACTUAL_DAYS_REAL,ACTUAL_COST_PEN_REAL,DEFECTS_REAL,RETRASO_REAL,SOBRECOSTO_REAL,DENSIDAD_DEFECTOS_REAL,RETRASO_PRED,SOBRECOSTO_PRED,DENSIDAD_DEFECTOS_PRED
75,27675,14,88.08641281781439,33467.19959967466,11.90450471967707,75,33920,7,0.0,22.565492321589883,0.5,17.448550423752522,20.929357180396252,0.8503217656912192
23,13501,19,,,,29,17634,10,26.08695652173913,30.61254721872454,0.5263157894736842,,,
172,38528,15,,,,209,51738,17,21.511627906976745,34.28675249169435,1.1333333333333333,,,
48,20544,7,56.007796431471675,25185.91608060856,5.9460392179906725,64,24738,3,33.33333333333333,20.414719626168225,0.42857142857142855,16.682909232232657,22.59499649828933,0.8494341739986675
48,14832,28,,,,61,19565,20,27.083333333333332,31.910733549083066,0.7142857142857143,,,
27,9774,49,,,,36,12668,83,33.33333333333333,29.609167178227953,1.6938775510204083,,,
176,94512,4,,,,219,113852,6,24.431818181818183,20.463009988149654,1.5,,,
167,76486,37,,,,177,90798,53,5.9880239520958085,18.71192113589415,1.4324324324324325,,,
61,33733,12,,,,81,34446,16,32.78688524590164,2.1136572495775647,1.3333333333333333,,,
133,35378,22,156.38632010359245,42286.549521880275,20.545393909232555,146,47794,27,9.774436090225564,35.095256939340835,1.2272727272727273,17.583699326009363,19.52781254418078,0.9338815413287525
155,63705,37,,,,168,77804,34,8.38709677419355,22.131700808413783,0.918918918918919,,,
142,74834,5,165.7055679586967,90292.79296865915,4.751239667030126,180,96466,6,26.76056338028169,28.90664671138787,1.2,16.69406194274415,20.657445771519832,0.9502479334060252
118,53454,13,,,,131,56692,17,11.016949152542372,6.057544804878962,1.3076923076923077,,,
164,41656,34,191.06430543617063,50525.65348383774,32.43441838883862,219,45093,16,33.53658536585366,8.250912233531785,0.47058823529411764,16.5026252659577,21.292619271744144,0.9539534820246653
80,36240,19,,,,104,44851,20,30.0,23.76103752759382,1.0526315789473684,,,
172,80324,13,201.18681100842414,96766.62868156526,11.146418348326558,192,105865,23,11.627906976744185,31.797470245505703,1.7692307692307692,16.969076167688453,20.470380809677376,0.8574167960251198
99,57222,30,115.22491650665096,68695.79036534778,27.6293047994993,121,65956,13,22.22222222222222,15.263360246059207,0.43333333333333335,16.388804552172683,20.051362002984487,0.9209768266499767
64,35520,5,74.6487587734004,42902.08843066126,3.61707222083748,79,39597,1,23.4375,11.47804054054054,0.2,16.63868558343813,20.782906617852635,0.723414444167496
175,69650,11,,,,213,71434,9,21.714285714285715,2.56137832017229,0.8181818181818182,,,
173,43423,16,201.85080521903697,51983.80179553269,15.08780854012992,230,45338,24,32.947976878612714,4.410105243764825,1.5,16.676766022564724,19.71490176987469,0.94298803375812
138,52854,49,,,,151,73786,79,9.420289855072465,39.603435879971244,1.6122448979591837,,,
124,73284,6,,,,151,97762,8,21.774193548387096,33.401561050161014,1.3333333333333333,,,
111,57498,50,,,,143,57867,22,28.82882882882883,0.6417614525722635,0.44,,,
37,9509,11,,,,46,10162,4,24.324324324324326,6.867178462509202,0.36363636363636365,,,
115,39675,16,,,,121,40935,12,5.217391304347826,3.175803402646503,0.75,,,
41,20705,49,,,,52,25944,75,26.82926829268293,25.30306689205506,1.530612244897959,,,
142,28826,31,,,,177,30474,46,24.647887323943664,5.717060986609311,1.4838709677419355,,,
180,43740,46,211.02601078147637,52195.44021472751,42.42753916906483,223,49045,70,23.88888888888889,12.12848651120256,1.5217391304347827,17.236672656375763,19.33113903687131,0.9223378080231485
28,12964,6,,,,28,17737,8,0.0,36.81734032705955,1.3333333333333333,,,
60,27660,38,,,,64,29286,33,6.666666666666667,5.8785249457700655,0.868421052631579,,,
42,17682,30,49.32646318949964,21101.72858920111,26.690467397947167,51,23059,38,21.428571428571427,30.40945594389775,1.2666666666666666,17.443959974999146,19.340168471898593,0.8896822465982389
104,43472,10,,,,133,50510,15,27.884615384615387,16.18973132131027,1.5,,,
21,5775,31,,,,22,6342,13,4.761904761904762,9.818181818181818,0.41935483870967744,,,
93,50685,12,,,,111,59220,10,19.35483870967742,16.839301568511395,0.8333333333333334,,,
59,33217,44,,,,60,42493,13,1.694915254237288,27.92545985489358,0.29545454545454547,,,
149,74202,19,,,,187,91630,22,25.503355704697988,23.487237540767094,1.1578947368421053,,,
167,48597,45,,,,200,53463,11,19.760479041916167,10.012963763195259,0.24444444444444444,,,
163,60310,41,,,,181,71915,43,11.042944785276074,19.242248383352678,1.048780487804878,,,
135,60210,44,157.12079349748814,72045.61626102559,41.228927885308806,139,80463,77,2.9629629629629632,33.63726955655207,1.75,16.385772961102322,19.657226807881724,0.9370210883024729
20,7960,3,23.431114793648145,9640.602607425126,2.2127953063883914,21,9575,5,5.0,20.28894472361809,1.6666666666666667,17.155573968240727,21.113098083230224,0.7375984354627971
133,59185,16,,,,140,62576,21,5.263157894736842,5.729492270000844,1.3125,,,
117,26559,33,,,,144,36300,36,23.076923076923077,36.676832712075004,1.0909090909090908,,,
161,77602,30,,,,189,96365,21,17.391304347826086,24.17850055410943,0.7,,,
141,59925,4,,,,167,66105,3,18.439716312056735,10.312891113892366,0.75,,,
21,7014,39,,,,21,9163,7,0.0,30.63872255489022,0.1794871794871795,,,
29,9338,48,,,,36,9455,72,24.137931034482758,1.2529449560933819,1.5,,,
62,22506,15,,,,65,29335,26,4.838709677419355,30.343019639207323,1.7333333333333334,,,
97,37733,20,,,,109,50362,16,12.371134020618557,33.46937693795881,0.8,,,
104,38272,15,,,,120,44263,21,15.384615384615385,15.653741638795987,1.4,,,
42,20748,8,,,,53,26264,10,26.190476190476193,26.58569500674764,1.25,,,
160,83040,24,,,,186,98009,40,16.25,18.02625240847784,1.6666666666666667,,,
79,24411,34,,,,90,29064,9,13.924050632911392,19.061079021752487,0.2647058823529412,,,
148,54168,20,,,,160,56490,2,8.108108108108109,4.286663712893221,0.1,,,
76,44992,22,,,,94,56155,17,23.684210526315788,24.811077524893317,0.7727272727272727,,,
167,50100,49,,,,202,66268,7,20.958083832335326,32.271457085828345,0.14285714285714285,,,
26,8216,12,,,,30,11047,21,15.384615384615385,34.45715676728335,1.75,,,
157,55735,29,183.41794182661604,67174.35069013215,27.314567226420717,205,63104,12,30.573248407643312,13.221494572530727,0.41379310344827586,16.826714539245888,20.524536987767387,0.9418816284972661
24,7752,15,,,,25,9991,9,4.166666666666666,28.882868937048507,0.6,,,
26,5980,12,,,,29,7743,13,11.538461538461538,29.481605351170572,1.0833333333333333,,,
110,28490,8,,,,133,30590,7,20.909090909090907,7.371007371007371,0.875,,,
50,23050,34,59.08923365041049,27394.27849118272,32.188750035913884,59,25302,57,18.0,9.77006507592191,1.6764705882352942,18.178467300820984,18.847195189512878,0.9467279422327612
105,39585,31,,,,108,51042,39,2.857142857142857,28.94278135657446,1.2580645161290323,,,
64,13696,4,,,,77,17705,0,20.3125,29.27132009345794,0.0,,,
90,26280,40,,,,109,29429,16,21.11111111111111,11.982496194824963,0.4,,,
123,62484,38,,,,156,72875,49,26.82926829268293,16.629857243454325,1.2894736842105263,,,
126,37926,45,,,,127,41816,45,0.7936507936507936,10.256815904656435,1.0,,,
144,73872,5,,,,169,94371,2,17.36111111111111,27.749350227420404,0.4,,,
36,16704,35,,,,43,20185,12,19.444444444444446,20.839319923371647,0.34285714285714286,,,
68,25500,24,78.60719705624018,30894.18899092265,20.925477959332788,76,28049,6,11.76470588235294,9.996078431372549,0.25,15.598819200353208,21.15368231734372,0.8718949149721995
62,36642,36,,,,81,40043,16,30.64516129032258,9.281698597238142,0.4444444444444444,,,
88,42768,16,,,,115,56767,5,30.681818181818183,32.73241676019454,0.3125,,,
131,28427,38,,,,143,34072,44,9.16030534351145,19.857881591444755,1.1578947368421053,,,
51,10608,34,60.381939744535224,12949.132804925706,32.09980082769631,55,11529,16,7.8431372549019605,8.68212669683258,0.47058823529411764,18.3959602834024,22.069502308877322,0.9441117890498916
37,11100,13,43.999992380539716,13676.281353724258,12.313466411369282,42,12717,11,13.513513513513514,14.567567567567568,0.8461538461538461,18.918898325783015,23.209741925443765,0.9471897239514833
91,33579,25,,,,111,37190,7,21.978021978021978,10.753744900086364,0.28,,,
148,86728,38,173.5655220350421,104430.04577077698,36.2438312276622,151,116192,38,2.027027027027027,33.972880730559915,1.0,17.27400137502845,20.410992725275552,0.9537850323068999
96,22080,10,112.13995597461005,26870.715002785975,8.201685091777735,119,28774,2,23.958333333333336,30.317028985507243,0.2,16.8124541402188,21.69707881696547,0.8201685091777735
123,55473,17,,,,151,60088,9,22.76422764227642,8.319362572783156,0.5294117647058824,,,
76,43776,15,,,,77,49008,20,1.3157894736842104,11.951754385964913,1.3333333333333333,,,
97,52477,13,,,,120,63300,8,23.711340206185564,20.624273491243784,0.6153846153846154,,,
43,24295,24,,,,45,27546,36,4.651162790697675,13.381354188104549,1.5,,,
159,77274,22,185.88595228092234,92945.5010824598,19.902155331472816,210,91316,30,32.075471698113205,18.171700701400212,1.3636363636363635,16.909403950265624,20.280432076066724,0.9046434241578553
88,46640,14,,,,117,64616,6,32.95454545454545,38.54202401372213,0.42857142857142855,,,
79,22041,47,91.35619690587953,26066.101051244877,44.74008779402007,101,26241,74,27.848101265822784,19.055396760582553,1.574468085106383,15.640755577062695,18.261880364978346,0.9519167615748951
150,61500,11,,,,176,84327,6,17.333333333333336,37.11707317073171,0.5454545454545454,,,
31,13423,48,,,,33,13858,33,6.451612903225806,3.2407062504656183,0.6875,,,
87,22881,11,101.45578632040485,27499.676755637705,9.739404973276466,87,29616,6,0.0,29.434902320702765,0.5454545454545454,16.615846345292937,20.18564204203359,0.8854004521160423
39,15015,9,45.80527936624296,18142.391891938183,7.658547612110054,41,20758,3,5.128205128205128,38.24841824841825,0.3333333333333333,17.44943427241784,20.82845082875913,0.8509497346788949
95,32680,23,111.4756600012515,40108.90235918292,22.487805121113073,102,35524,24,7.368421052631578,8.702570379436965,1.0434782608695652,17.342800001317364,22.73225936102484,0.9777306574396988
49,25725,10,,,,63,27005,17,28.57142857142857,4.975704567541302,1.7,,,
51,25908,30,,,,59,29683,21,15.686274509803921,14.57078894549946,0.7,,,
105,56910,31,,,,106,62115,31,0.9523809523809524,9.146020031628888,1.0,,,
137,30414,8,,,,141,30560,8,2.9197080291970803,0.480042085881502,1.0,,,
30,16170,36,,,,31,21318,51,3.3333333333333335,31.83673469387755,1.4166666666666667,,,
100,28700,24,,,,116,39245,33,16.0,36.742160278745644,1.375,,,
115,47725,28,,,,150,54125,40,30.434782608695656,13.410162388685176,1.4285714285714286,,,
126,45738,21,,,,132,45802,29,4.761904761904762,0.1399274126546854,1.380952380952381,,,
159,94446,38,,,,189,98091,41,18.867924528301888,3.8593481989708405,1.0789473684210527,,,
108,38880,5,,,,129,51112,2,19.444444444444446,31.46090534979424,0.4,,,
100,59700,14,117.21011566282868,71541.5183257018,12.210393656084308,114,79385,11,14.000000000000002,32.97319932998325,0.7857142857142857,17.210115662828684,19.835039071527316,0.8721709754345934
125,32250,39,,,,139,37462,37,11.200000000000001,16.161240310077517,0.9487179487179487,,,
56,20608,50,,,,68,26346,72,21.428571428571427,27.84355590062112,1.44,,,
133,43757,7,,,,160,52638,6,20.30075187969925,20.296181182439383,0.8571428571428571,,,
121,25047,46,,,,126,25877,67,4.132231404958678,3.313770112189084,1.4565217391304348,,,
26,13104,40,,,,27,18315,18,3.8461538461538463,39.76648351648351,0.45,,,
128,76416,16,,,,129,83851,9,0.78125,9.729637772194305,0.5625,,,
177,71331,44,,,,203,92497,18,14.689265536723164,29.67293322678779,0.4090909090909091,,,
72,41904,4,,,,76,55779,2,5.555555555555555,33.11139747995418,0.5,,,
73,25623,11,,,,89,32442,11,21.91780821917808,26.612808804589626,1.0,,,
63,29610,4,,,,74,41262,1,17.46031746031746,39.3515704154002,0.25,,,
173,35119,47,,,,203,41160,28,17.341040462427745,17.20151484951166,0.5957446808510638,,,
61,30012,39,70.46668686200232,36087.53993659809,35.79813103165617,75,33760,23,22.950819672131146,12.48833799813408,0.5897435897435898,15.519158790167737,20.243702307737212,0.9179007956834915
151,87580,13,176.15610763113767,104845.43517274919,11.76073242664139,196,120768,18,29.80132450331126,37.89449646037909,1.3846153846153846,16.659673927905743,19.71390177294952,0.9046717251262607
122,55266,36,,,,159,55805,62,30.327868852459016,0.9752831759128577,1.7222222222222223,,,
24,5256,13,,,,29,5512,16,20.833333333333336,4.87062404870624,1.2307692307692308,,,
106,53106,12,122.14882476825807,63997.674117268034,12.192101897588424,121,58998,3,14.150943396226415,11.094791548977517,0.25,15.23474034741327,20.509309903340554,1.016008491465702
75,24600,11,,,,91,28782,16,21.333333333333336,17.0,1.4545454545454546,,,
58,34162,33,,,,76,45820,34,31.03448275862069,34.125636672325975,1.0303030303030303,,,
130,38870,43,,,,153,44071,19,17.692307692307693,13.380499099562645,0.4418604651162791,,,
61,30683,15,,,,62,33710,10,1.639344262295082,9.8653977772708,0.6666666666666666,,,
158,38552,14,,,,181,40835,13,14.556962025316455,5.9218717576260635,0.9285714285714286,,,
79,19118,26,,,,103,26596,12,30.37974683544304,39.11497018516582,0.46153846153846156,,,
61,32330,26,,,,63,32350,10,3.278688524590164,0.06186204763377668,0.38461538461538464,,,
152,52592,22,,,,172,56964,3,13.157894736842104,8.313051414663827,0.13636363636363635,,,
169,79768,38,198.3457497808321,95873.76009893099,35.20104464748509,196,80220,67,15.976331360946746,0.5666432654698625,1.763157894736842,17.364348982740893,20.19075330825768,0.9263432801969761
123,50307,12,,,,151,68325,16,22.76422764227642,35.81608921223687,1.3333333333333333,,,
37,14763,17,,,,49,20271,14,32.432432432432435,37.30948994106889,0.8235294117647058,,,
53,16218,7,,,,67,19650,5,26.41509433962264,21.161672216056235,0.7142857142857143,,,
106,46110,5,,,,120,58276,7,13.20754716981132,26.384732162220775,1.4,,,
105,51030,11,123.22869482436315,61251.96398329186,10.50517929676971,123,70475,4,17.142857142857142,38.1050362531844,0.36363636363636365,17.360661737488712,20.03128352594917,0.9550162997063372
159,63600,23,,,,206,78972,25,29.559748427672954,24.169811320754718,1.0869565217391304,,,
55,16500,4,,,,59,17177,6,7.2727272727272725,4.103030303030303,1.5,,,
23,12811,21,,,,26,13760,19,13.043478260869565,7.407696510811022,0.9047619047619048,,,
59,34869,31,,,,77,40397,11,30.508474576271187,15.853623562476699,0.3548387096774194,,,
24,11856,28,,,,25,12511,10,4.166666666666666,5.524628879892038,0.35714285714285715,,,
32,15744,34,,,,36,20782,55,12.5,31.9994918699187,1.6176470588235294,,,
28,10780,23,,,,33,11806,30,17.857142857142858,9.517625231910946,1.3043478260869565,,,
75,23100,4,88.14238453958173,27713.063117912152,2.774092509348401,97,27186,7,29.333333333333332,17.68831168831169,1.75,17.52317938610897,19.96997020741191,0.6935231273371002
123,54735,27,,,,131,71741,34,6.504065040650407,31.06969946103955,1.2592592592592593,,,
81,19197,34,,,,84,24990,58,3.7037037037037033,30.176590092201906,1.7058823529411764,,,
62,19964,47,,,,71,20361,14,14.516129032258066,1.9885794429973953,0.2978723404255319,,,
30,13740,43,,,,31,15787,15,3.3333333333333335,14.8981077147016,0.3488372093023256,,,
178,99502,42,,,,240,115274,24,34.831460674157306,15.85093766959458,0.5714285714285714,,,
81,48438,32,,,,97,55017,48,19.753086419753085,13.582311408398365,1.5,,,
23,9384,44,,,,23,11270,62,0.0,20.098039215686274,1.4090909090909092,,,
57,16701,36,,,,63,18135,27,10.526315789473683,8.58631219687444,0.75,,,
152,38152,5,,,,181,52759,8,19.078947368421055,38.28632837072762,1.6,,,
85,40715,10,,,,103,52837,14,21.176470588235293,29.77281100331573,1.4,,,
109,60931,21,,,,115,66665,18,5.5045871559633035,9.410644827755986,0.8571428571428571,,,
24,8496,47,27.550339135810795,10329.654304498834,43.9956362695776,30,9961,21,25.0,17.24340866290019,0.44680851063829785,14.793079732544978,21.582560081200963,0.9360773674378213
174,45414,46,,,,186,58401,18,6.896551724137931,28.59690844233056,0.391304347826087,,,
49,17689,4,,,,54,18776,0,10.204081632653061,6.145061902877495,0.0,,,
46,25852,43,,,,61,25866,30,32.608695652173914,0.05415441745319511,0.6976744186046512,,,
92,18492,21,,,,123,24013,26,33.69565217391305,29.856154012545964,1.2380952380952381,,,
91,32669,16,,,,120,35760,23,31.868131868131865,9.461569071596927,1.4375,,,
138,73416,24,,,,178,93711,12,28.985507246376812,27.643837855508334,0.5,,,
74,43586,36,,,,90,45934,42,21.62162162162162,5.387050887899784,1.1666666666666667,,,
20,9400,29,,,,20,10944,45,0.0,16.425531914893618,1.5517241379310345,,,
158,77262,7,,,,193,80983,11,22.151898734177212,4.816080349977997,1.5714285714285714,,,
117,53235,40,,,,141,59133,62,20.51282051282051,11.079177233023387,1.55,,,
53,17278,6,,,,70,20354,6,32.075471698113205,17.80298645676583,1.0,,,
89,39694,46,,,,92,49641,64,3.3707865168539324,25.059202902201843,1.391304347826087,,,
135,42660,29,,,,181,43387,40,34.074074074074076,1.7041725269573371,1.3793103448275863,,,
170,77350,15,,,,220,88901,6,29.411764705882355,14.933419521654818,0.4,,,
148,50912,8,,,,167,66778,1,12.837837837837837,31.16357636706474,0.125,,,
163,75143,42,191.5201248418061,89971.19868044178,39.613188163578045,203,101162,47,24.539877300613497,34.62597979851749,1.119047619047619,17.49700910540252,19.73330673574622,0.9431711467518582
65,26195,42,,,,78,28884,53,20.0,10.265317808742127,1.2619047619047619,,,
51,17340,48,,,,66,17340,57,29.411764705882355,0.0,1.1875,,,
41,21935,34,,,,41,24393,31,0.0,11.20583542284021,0.9117647058823529,,,
170,77180,32,,,,205,92233,23,20.588235294117645,19.50375745011661,0.71875,,,
125,28250,3,,,,140,37689,2,12.0,33.41238938053097,0.6666666666666666,,,
24,9960,48,,,,30,13602,11,25.0,36.566265060240966,0.22916666666666666,,,
114,29640,14,,,,143,32298,16,25.438596491228072,8.967611336032387,1.1428571428571428,,,
142,30530,32,,,,175,36023,14,23.239436619718308,17.99213887979037,0.4375,,,
152,30856,14,,,,196,34059,22,28.947368421052634,10.380477054705729,1.5714285714285714,,,
49,10927,39,,,,61,11377,11,24.489795918367346,4.118239223940697,0.28205128205128205,,,
38,18468,4,,,,41,18834,3,7.894736842105263,1.9818063677712798,0.75,,,
53,25705,10,,,,60,26444,1,13.20754716981132,2.874927056992803,0.1,,,
93,44082,34,,,,116,46599,20,24.731182795698924,5.7098135293317,0.5882352941176471,,,
175,90825,6,,,,228,105601,1,30.28571428571429,16.268648499862373,0.16666666666666666,,,
167,55277,45,,,,185,58425,66,10.778443113772456,5.694954501872388,1.4666666666666666,,,
113,55370,5,,,,122,63214,8,7.964601769911504,14.166516163987719,1.6,,,
131,72836,13,,,,140,73892,21,6.870229007633588,1.4498325004118842,1.6153846153846154,,,
111,43068,28,,,,135,43960,18,21.62162162162162,2.0711433082567106,0.6428571428571429,,,
97,48888,9,,,,130,49540,12,34.02061855670103,1.3336606120111274,1.3333333333333333,,,
73,19929,29,,,,86,27686,9,17.80821917808219,38.923177279341665,0.3103448275862069,,,
52,23088,48,,,,57,31307,8,9.615384615384617,35.59857934857935,0.16666666666666666,,,
102,39780,45,,,,110,41773,21,7.8431372549019605,5.010055304172951,0.4666666666666667,,,
146,67160,9,,,,187,91075,8,28.08219178082192,35.60899344848124,0.8888888888888888,,,
117,49959,41,,,,119,51323,18,1.7094017094017095,2.7302387958125665,0.43902439024390244,,,
157,70022,42,,,,198,83212,64,26.11464968152866,18.836936962668876,1.5238095238095237,,,
153,76653,26,179.72663575010134,91918.39310076796,24.649137672107123,167,98450,16,9.15032679738562,28.43593858035563,0.6153846153846154,17.4683893791512,19.91493235850908,0.9480437566195048
80,32880,9,93.99134845378217,39408.60293487615,7.610186245783474,81,43644,13,1.25,32.73722627737226,1.4444444444444444,17.489185567227707,19.85584834208075,0.8455762495314971
125,75000,38,,,,128,98569,6,2.4,31.425333333333334,0.15789473684210525,,,
58,19024,21,,,,61,20467,5,5.172413793103448,7.58515559293524,0.23809523809523808,,,
170,69870,8,,,,183,93850,6,7.647058823529412,34.32088163732646,0.75,,,
164,76752,38,,,,211,86646,54,28.65853658536585,12.890869293308318,1.4210526315789473,,,
170,81260,39,198.97050722428435,97461.59754542222,36.262658289328186,199,87629,24,17.058823529411764,7.837804577898106,0.6153846153846154,17.04147483781432,19.937973843738888,0.9298117510084151
137,68637,42,,,,155,83388,42,13.138686131386862,21.491323921500065,1.0,,,
118,34928,27,,,,139,37796,6,17.796610169491526,8.211177278973889,0.2222222222222222,,,
165,97185,35,,,,165,112478,60,0.0,15.735967484694141,1.7142857142857142,,,
132,27984,35,155.4284747119696,33469.2232314165,33.74507708864985,172,34331,57,30.303030303030305,22.680817610062892,1.6285714285714286,17.74884447876486,19.601283702889155,0.96414505967571
139,68388,7,161.65996360444709,82126.2060227474,5.683549504634482,160,87243,7,15.107913669064748,27.570626425688715,1.0,16.30213208953028,20.088620843930805,0.8119356435192117
40,8040,29,,,,49,9731,51,22.5,21.032338308457714,1.7586206896551724,,,
73,37230,45,,,,80,38829,52,9.58904109589041,4.294923448831588,1.1555555555555554,,,
31,10850,27,,,,40,12987,41,29.03225806451613,19.69585253456221,1.5185185185185186,,,
25,8275,46,,,,30,10744,61,20.0,29.836858006042295,1.326086956521739,,,
118,40120,3,,,,139,43566,3,17.796610169491526,8.589232303090728,1.0,,,
130,73840,15,,,,165,94176,23,26.923076923076923,27.540628385698806,1.5333333333333334,,,
133,64239,5,,,,145,66328,7,9.022556390977442,3.2519186164168183,1.4,,,
44,10340,35,,,,55,12955,40,25.0,25.290135396518377,1.1428571428571428,,,
121,47069,50,,,,131,63933,58,8.264462809917356,35.82825214047462,1.16,,,
173,91690,34,,,,187,99653,14,8.092485549132949,8.684698440396991,0.4117647058823529,,,
110,36740,49,129.1079287621837,44144.861636567635,45.58300453331499,111,45785,16,0.9090909090909091,24.618943930321176,0.32653061224489793,17.3708443292579,20.15476765532835,0.9302653986390814
63,15183,29,,,,63,18316,19,0.0,20.634920634920633,0.6551724137931034,,,
37,16872,43,,,,42,19268,33,13.513513513513514,14.201043148411568,0.7674418604651163,,,
138,52026,10,,,,179,61650,15,29.71014492753623,18.498443086149233,1.5,,,
123,70110,18,,,,161,83879,4,30.89430894308943,19.639138496648123,0.2222222222222222,,,
115,29210,19,,,,116,29835,17,0.8695652173913043,2.139678192399863,0.8947368421052632,,,
81,21141,47,95.69601998748705,25347.932823706076,45.2655070682665,99,21341,8,22.22222222222222,0.946029043091623,0.1702127659574468,18.143234552453148,19.89940316780699,0.9630958950695
54,16794,38,,,,60,17230,9,11.11111111111111,2.5961652971299274,0.23684210526315788,,,
160,64480,33,,,,166,78470,41,3.75,21.69665012406948,1.2424242424242424,,,
153,61353,43,,,,153,80935,63,0.0,31.91693967695141,1.4651162790697674,,,
141,62181,39,,,,182,83536,40,29.078014184397162,34.34328814268024,1.0256410256410255,,,
115,25645,4,,,,127,29158,1,10.434782608695652,13.698576720608305,0.25,,,
146,75482,17,170.0767623583618,90154.51911165113,15.575238634388509,180,85251,11,23.28767123287671,12.94215839537903,0.6470588235294118,16.490933122165618,19.438434476631684,0.9161905079052064
135,32265,44,,,,162,33387,75,20.0,3.477452347745235,1.7045454545454546,,,
124,42656,33,,,,159,44024,13,28.225806451612907,3.2070517629407354,0.3939393939393939,,,
128,65920,45,149.24638567331374,78717.30839113749,42.94890253936245,139,75300,33,8.59375,14.229368932038836,0.7333333333333333,16.59873880727636,19.41339258364303,0.9544200564302767
140,77280,19,,,,185,100166,2,32.142857142857146,29.61438923395445,0.10526315789473684,,,
39,20748,8,,,,41,26284,10,5.128205128205128,26.682089839984574,1.25,,,
48,10608,49,56.82273870043534,12382.526839103319,45.872690911170125,51,13812,85,6.25,30.20361990950226,1.7346938775510203,18.380705625906955,16.728194184608963,0.9361773655340841
118,41772,16,138.05513763640994,50101.61473432679,15.414367410739679,155,47568,16,31.35593220338983,13.875323182993393,1.0,16.99587935288978,19.940665360353314,0.9633979631712299
99,22671,5,,,,110,29349,4,11.11111111111111,29.456133386264387,0.8,,,
150,84150,46,,,,177,90193,71,18.0,7.1812240047534175,1.5434782608695652,,,
157,76616,26,,,,163,98239,27,3.821656050955414,28.222564477393757,1.0384615384615385,,,
107,48364,22,,,,119,51802,27,11.214953271028037,7.108593168472417,1.2272727272727273,,,
127,73025,47,,,,136,82957,48,7.086614173228346,13.60082163642588,1.0212765957446808,,,
71,37772,35,,,,72,41719,25,1.4084507042253522,10.449539341311025,0.7142857142857143,,,
101,57772,7,117.45637922980517,69582.09338089918,7.124304466251155,114,78032,8,12.871287128712872,35.068891504535074,1.1428571428571428,16.29344478198531,20.442590495221186,1.0177577808930223
37,21645,21,,,,43,27803,29,16.216216216216218,28.44998844998845,1.380952380952381,,,
